WeekNum,Cabbage,Carrot,Baguio Beans,Patatas,Pechay Baguio,Chayote,Ampalaya,Sitao,Pechay Tagalog,Squash,Eggplant,Tomato
1,115.00,120.00,140.00,80.00,70.00,40.00,80.00,70.00,62.50,40.00,100.00,60.00
2,104.00,120.00,120.00,80.00,62.00,40.00,74.00,76.00,60.00,40.00,80.00,60.00
3,92.50,140.00,85.00,77.50,60.00,40.00,65.00,77.50,60.00,40.00,60.00,60.00
4,86.00,153.00,80.00,78.00,60.00,40.00,60.00,74.00,58.00,40.00,62.00,60.00
5,80.00,120.00,80.00,75.00,60.00,40.00,80.00,86.00,60.00,40.00,68.00,60.00
6,70.00,96.00,80.00,76.00,59.00,40.00,96.00,100.00,62.00,38.00,91.00,59.00
7,80.00,84.00,80.00,75.00,64.00,40.00,100.00,100.00,66.00,38.00,100.00,51.00
8,80.00,97.50,80.00,77.50,61.25,45.00,90.00,100.00,66.25,35.00,100.00,60.00
9,80.00,100.00,80.00,80.00,60.00,50.00,80.00,94.00,72.00,36.00,78.00,60.00
10,80.00,97.50,90.00,80.00,60.00,50.00,95.00,120.00,80.00,40.00,80.00,60.00
11,80.00,80.00,80.00,75.00,61.00,46.00,120.00,116.00,70.00,39.00,80.00,60.00
12,70.00,70.00,76.00,74.00,54.00,50.00,116.00,112.00,64.00,38.00,80.00,60.00
13,68.00,80.00,78.00,66.00,60.00,50.00,92.00,98.00,57.00,40.00,66.00,60.00
14,68.00,78.00,80.00,75.00,59.00,40.00,90.00,95.00,59.00,40.00,64.00,60.00
15,64.00,79.00,80.00,62.00,56.00,40.00,112.00,100.00,57.00,38.00,60.00,57.00
16,62.50,90.00,80.00,60.00,52.50,40.00,100.00,87.50,56.25,37.50,62.50,60.00
17,60.00,98.00,80.00,60.00,54.00,39.00,100.00,80.00,60.00,40.00,70.00,60.00
18,60.00,100.00,92.00,62.00,58.00,40.00,100.00,80.00,60.00,40.00,72.00,60.00
19,60.00,106.00,100.00,64.00,60.00,40.00,116.00,80.00,60.00,40.00,72.00,80.00
20,60.00,104.00,82.00,66.00,58.00,40.00,104.00,80.00,58.00,40.00,70.00,80.00
21,60.00,92.00,80.00,60.00,58.00,40.00,100.00,80.00,60.00,46.00,59.00,80.00
22,62.50,90.00,80.00,60.00,60.00,40.00,95.00,77.50,67.50,50.00,55.00,80.00
23,72.00,84.00,80.00,62.00,66.00,40.00,93.00,70.00,68.00,50.00,60.00,100.00
24,75.00,80.00,80.00,68.33,70.00,40.00,100.00,80.00,70.00,53.33,76.67,113.33
25,79.00,91.00,80.00,76.00,74.00,37.00,100.00,80.00,70.00,50.00,78.00,128.00
26,77.00,84.00,76.00,68.00,70.00,34.00,100.00,76.00,62.00,50.00,68.00,98.00
27,81.00,80.00,80.00,68.00,70.00,34.00,98.00,73.00,60.00,50.00,72.00,88.00
28,80.00,85.00,80.00,75.00,72.50,35.00,100.00,77.50,60.00,45.00,67.50,97.50
29,80.00,80.00,79.00,74.00,72.00,36.00,98.00,79.00,58.00,40.00,62.00,98.00
30,72.00,82.00,108.00,76.00,64.00,35.00,100.00,112.00,60.00,40.00,60.00,91.00
